品种,日期,开盘价,收盘价,最高价,最低价,最高最低价差,成交量
甲醇,2025-10-30,2255.0,2208.0,2260.0,2207.0,53.0,787877
甲醇,2025-10-31,2202.0,2180.0,2219.0,2172.0,47.0,826939
甲醇,2025-11-03,2182.0,2143.0,2188.0,2132.0,56.0,1186632
甲醇,2025-11-04,2139.0,2115.0,2143.0,2105.0,38.0,1100316
甲醇,2025-11-05,2110.0,2141.0,2150.0,2089.0,61.0,1405704
甲醇,2025-11-06,2136.0,2125.0,2137.0,2096.0,41.0,1243391
甲醇,2025-11-07,2122.0,2112.0,2132.0,2106.0,26.0,915795
甲醇,2025-11-10,2112.0,2101.0,2118.0,2075.0,43.0,1283246
甲醇,2025-11-11,2100.0,2082.0,2109.0,2080.0,29.0,834857
甲醇,2025-11-12,2084.0,2108.0,2117.0,2084.0,33.0,1032752
