品种,日期,开盘价,收盘价,最高价,最低价,最高最低价差,成交量
纯碱,2025-10-30,1257.0,1235.0,1258.0,1221.0,37.0,1235717
纯碱,2025-10-31,1235.0,1225.0,1242.0,1222.0,20.0,824645
纯碱,2025-11-03,1222.0,1202.0,1229.0,1190.0,39.0,1599801
纯碱,2025-11-04,1199.0,1189.0,1202.0,1186.0,16.0,849051
纯碱,2025-11-05,1190.0,1195.0,1203.0,1188.0,15.0,837701
纯碱,2025-11-06,1194.0,1207.0,1209.0,1193.0,16.0,730770
纯碱,2025-11-07,1209.0,1210.0,1214.0,1201.0,13.0,603881
纯碱,2025-11-10,1209.0,1226.0,1230.0,1188.0,42.0,1542782
纯碱,2025-11-11,1225.0,1215.0,1238.0,1209.0,29.0,1296721
纯碱,2025-11-12,1214.0,1214.0,1225.0,1207.0,18.0,689506
