品种,日期,开盘价,收盘价,最高价,最低价,最高最低价差,成交量
尿素,2025-10-30,1648.0,1627.0,1648.0,1618.0,30.0,150829
尿素,2025-10-31,1627.0,1625.0,1637.0,1623.0,14.0,102839
尿素,2025-11-03,1618.0,1623.0,1629.0,1606.0,23.0,159564
尿素,2025-11-04,1624.0,1630.0,1638.0,1615.0,23.0,140396
尿素,2025-11-05,1625.0,1633.0,1644.0,1620.0,24.0,155467
尿素,2025-11-06,1630.0,1644.0,1653.0,1628.0,25.0,148885
尿素,2025-11-07,1665.0,1667.0,1679.0,1656.0,23.0,321705
尿素,2025-11-10,1670.0,1660.0,1670.0,1652.0,18.0,174463
尿素,2025-11-11,1660.0,1640.0,1662.0,1636.0,26.0,142274
尿素,2025-11-12,1643.0,1655.0,1667.0,1634.0,33.0,231417
