品种,日期,开盘价,收盘价,最高价,最低价,最高最低价差,成交量
甲醇,2025-10-30,2255.0,2208.0,2260.0,2207.0,53.0,787877
甲醇,2025-10-31,2202.0,2180.0,2219.0,2172.0,47.0,826939
甲醇,2025-11-03,2182.0,2143.0,2188.0,2132.0,56.0,1186632
甲醇,2025-11-04,2139.0,2115.0,2143.0,2105.0,38.0,1100316
甲醇,2025-11-05,2110.0,2141.0,2150.0,2089.0,61.0,1405704
甲醇,2025-11-06,2136.0,2125.0,2137.0,2096.0,41.0,1243391
甲醇,2025-11-07,2122.0,2112.0,2132.0,2106.0,26.0,915795
甲醇,2025-11-10,2112.0,2101.0,2118.0,2075.0,43.0,1283246
甲醇,2025-11-11,2100.0,2082.0,2109.0,2080.0,29.0,834857
甲醇,2025-11-12,2084.0,2108.0,2117.0,2084.0,33.0,1032752
尿素,2025-10-30,1648.0,1627.0,1648.0,1618.0,30.0,150829
尿素,2025-10-31,1627.0,1625.0,1637.0,1623.0,14.0,102839
尿素,2025-11-03,1618.0,1623.0,1629.0,1606.0,23.0,159564
尿素,2025-11-04,1624.0,1630.0,1638.0,1615.0,23.0,140396
尿素,2025-11-05,1625.0,1633.0,1644.0,1620.0,24.0,155467
尿素,2025-11-06,1630.0,1644.0,1653.0,1628.0,25.0,148885
尿素,2025-11-07,1665.0,1667.0,1679.0,1656.0,23.0,321705
尿素,2025-11-10,1670.0,1660.0,1670.0,1652.0,18.0,174463
尿素,2025-11-11,1660.0,1640.0,1662.0,1636.0,26.0,142274
尿素,2025-11-12,1643.0,1655.0,1667.0,1634.0,33.0,231417
纯碱,2025-10-30,1257.0,1235.0,1258.0,1221.0,37.0,1235717
纯碱,2025-10-31,1235.0,1225.0,1242.0,1222.0,20.0,824645
纯碱,2025-11-03,1222.0,1202.0,1229.0,1190.0,39.0,1599801
纯碱,2025-11-04,1199.0,1189.0,1202.0,1186.0,16.0,849051
纯碱,2025-11-05,1190.0,1195.0,1203.0,1188.0,15.0,837701
纯碱,2025-11-06,1194.0,1207.0,1209.0,1193.0,16.0,730770
纯碱,2025-11-07,1209.0,1210.0,1214.0,1201.0,13.0,603881
纯碱,2025-11-10,1209.0,1226.0,1230.0,1188.0,42.0,1542782
纯碱,2025-11-11,1225.0,1215.0,1238.0,1209.0,29.0,1296721
纯碱,2025-11-12,1214.0,1214.0,1225.0,1207.0,18.0,689506
