日期,开盘价,收盘价,最高价,最低价,最高最低价差,成交量
2025-10-30,1122.0,1091.0,1122.0,1083.0,39.0,2577297
2025-10-31,1091.0,1083.0,1104.0,1078.0,26.0,1820236
2025-11-03,1084.0,1093.0,1126.0,1075.0,51.0,3165253
2025-11-04,1094.0,1105.0,1115.0,1088.0,27.0,1881852
2025-11-05,1110.0,1097.0,1122.0,1092.0,30.0,2266272
2025-11-06,1099.0,1101.0,1106.0,1083.0,23.0,1741879
2025-11-07,1100.0,1091.0,1108.0,1091.0,17.0,1342142
2025-11-10,1089.0,1069.0,1093.0,1055.0,38.0,2327949
2025-11-11,1066.0,1053.0,1071.0,1051.0,20.0,1356589
2025-11-12,1051.0,1049.0,1064.0,1043.0,21.0,1265486
