code,name,limit_up_date,limit_up_pct,latest_date,latest_pct_chg
000010,美丽生态,2026-02-26,10.0,2026-02-26,10.0
000021,深科技,2026-02-13,10.02,2026-02-26,4.24
000039,中集集团,2026-02-03,9.97,2026-02-26,9.65
000488,ST晨鸣,2026-02-13,5.07,2026-02-26,3.39
000518,*ST四环,2026-02-25,4.94,2026-02-26,0.72
000525,红太阳,2026-02-09,9.98,2026-02-26,4.19
000533,顺钠股份,2026-02-02,10.02,2026-02-26,2.07
000534,万泽股份,2026-02-03,10.01,2026-02-26,9.99
000546,金圆股份,2026-02-26,9.98,2026-02-26,9.98
000547,航天发展,2026-02-03,9.99,2026-02-26,1.32
000559,万向钱潮,2026-02-10,10.03,2026-02-26,0.83
000561,烽火电子,2026-01-23,10.04,2026-02-26,0.62
000581,威孚高科,2026-02-25,10.0,2026-02-26,5.73
000592,平潭发展,2026-01-23,10.0,2026-02-26,0.18
000599,青岛双星,2026-01-28,9.95,2026-02-26,1.43
000609,ST中迪,2026-02-05,4.95,2026-02-26,4.96
000628,高新发展,2026-02-12,10.01,2026-02-26,0.77
000638,*ST万方,2026-02-10,4.97,2026-02-26,4.92
000657,中钨高新,2026-01-26,10.01,2026-02-26,2.33
000659,珠海中富,2026-01-27,10.04,2026-02-26,2.18
000661,长春高新,2026-02-25,10.0,2026-02-26,1.27
000668,*ST荣控,2026-02-02,5.0,2026-02-26,3.9
000669,ST金鸿,2026-02-10,4.87,2026-02-26,5.08
000670,盈方微,2026-01-22,10.05,2026-02-26,0.12
000691,*ST亚太,2026-02-03,5.06,2026-02-26,2.41
000711,ST京蓝,2026-01-26,5.2,2026-02-26,4.9
000738,航发控制,2026-01-27,9.98,2026-02-26,1.24
000758,中色股份,2026-01-28,10.02,2026-02-26,0.71
000793,ST华闻,2026-01-22,4.96,2026-02-26,3.09
000811,冰轮环境,2026-02-03,10.03,2026-02-26,7.68
000815,美利云,2026-01-26,10.03,2026-02-26,4.21
000818,航锦科技,2026-02-10,10.01,2026-02-26,1.28
000820,*ST节能,2026-01-22,4.94,2026-02-26,0.28
000826,启迪环境,2026-02-25,10.04,2026-02-26,9.92
000863,三湘印象,2026-01-29,10.02,2026-02-26,0.17
000880,潍柴重机,2026-01-22,9.99,2026-02-26,8.51
000890,法尔胜,2026-02-13,10.04,2026-02-26,10.01
000899,赣能股份,2026-02-25,10.03,2026-02-26,10.02
000901,航天科技,2026-01-29,9.98,2026-02-26,0.41
000962,东方钽业,2026-01-28,10.0,2026-02-26,7.17
000988,华工科技,2026-02-24,10.0,2026-02-26,2.85
001202,炬申股份,2026-01-22,10.0,2026-02-26,0.39
001203,大中矿业,2026-01-23,9.99,2026-02-26,3.77
001209,洪兴股份,2026-02-25,9.99,2026-02-26,10.01
001266,宏英智能,2026-02-09,9.99,2026-02-26,2.56
001267,汇绿生态,2026-01-27,9.98,2026-02-26,3.96
001270,*ST铖昌,2026-01-22,5.0,2026-02-26,1.96
001277,速达股份,2026-01-26,10.0,2026-02-26,0.5
001311,多利科技,2026-01-27,9.99,2026-02-26,1.29
001316,润贝航科,2026-01-22,10.0,2026-02-26,0.53
001326,联域股份,2026-02-02,10.01,2026-02-26,3.28
001339,智微智能,2026-02-26,10.01,2026-02-26,10.01
